text,aspect,arfs,sentiment
LOCATION1 is also slightly cheaper,price,LOCATION1 also slightly,Positive
LOCATION1 is also very affluent,price,LOCATION1 also affluent,Negative
LOCATION1 is cheap because of all the council blocks,price,LOCATION1 cheap council,Positive
"LOCATION1 is fairly affordable , but not the 4-bedroom places",price,LOCATION1 fairly affordable,Positive
"LOCATION1 is good , a bit more space than other expensive areas",price,LOCATION1 good bit,Negative
LOCATION1 is one of the most expensive areas in London,price,LOCATION1 one expensive,Negative
LOCATION1 is one of the most expensive areas of London,price,LOCATION1 one expensive,Negative
"LOCATION1 is one of the most historic, affluent areas of central London",price,"LOCATION1 one historic,",Negative
LOCATION1 is probably slightly cheaper,price,LOCATION1 probably slightly,Positive
LOCATION1 is really expensive and you wouldnt want to live in the few places you could afford,price,LOCATION1 really expensive,Negative
LOCATION1 is reasonably priced,price,LOCATION1 reasonably priced,Positive
LOCATION1 is regarded as a posh area,price,LOCATION1 regarded posh,Negative
LOCATION1 is the most expensive neighborhood in the world I stayed there for a bit,price,LOCATION1 expensive neighborhood,Negative
LOCATION1 is very expensive,price,LOCATION1 expensive,Negative
"LOCATION1 is very expensive part of London to live ( i was born there , many years ago )",price,LOCATION1 expensive part,Negative
LOCATION1 is very expensive: this is the heart of London's West End Of London theatre Land,price,LOCATION1 expensive: heart,Negative
LOCATION1 itself is also very expensive,price,LOCATION1 also expensive,Negative
LOCATION1 itself is rich mans land but I dont want to be living in the next bradistan either in the surrounding places like sheperds bush which is suposed to be like spot the white man,price,LOCATION1 rich mans,Negative
LOCATION1 just across blackfriars bridge is n't much cheaper,price,LOCATION1 across blackfriars,Negative
LOCATION1 to my knowledge attracts high income earning proffesionals as the properties can be quite pricey,price,LOCATION1 knowledge attracts,Negative
"LOCATION1 very expensive area,like most cities big and small houses",price,"LOCATION1 expensive area,like",Negative
LOCATION1 would be the cheapest area to rent out of your list I like all the areas you listed,price,LOCATION1 would cheapest,Positive
LOCATION1's significantly cheaper than LOCATION1,price,LOCATION1's significantly cheaper,Positive
"Like I said , it really depends on your budget , because even though your aware LOCATION1 is expensive , expensive could mean doable but stretched , or priced out completely and never obtainable and unrealistic",price,Like said really,Negative
Or LOCATION1 - cheap,price,LOCATION1 cheap,Positive
Parts of LOCATION1 are village like but they are very expensive,price,Parts LOCATION1 village,Negative
Parts of LOCATION2 are expensive like LOCATION1 but there are still lots on offer,price,Parts LOCATION2 expensive,Negative
Some areas are very nice and just as expensive if not more expensive than LOCATION1,price,areas nice expensive,Negative
Thank you in advance for your help LOCATION1 is more expensive than LOCATION1,price,Thank advance help,Negative
The absolute cheapest part of London to live in is the LOCATION1 area,price,absolute cheapest part,Positive
The average house price in LOCATION1 is going to be MUCH higher than the average price in LOCATION1,price,average house LOCATION1,Negative
The cheapest area is probably the area around LOCATION1,price,cheapest area probably,Positive
"The cheapest of these areas are generally in the East LOCATION1 is ok , rentals start from about 650 per month for a two bedroom flat there",price,cheapest areas generally,Positive
The down side is that the northern line is n't the most reliable of transport links and LOCATION1 can be very expsensive,price,side northern line,Negative
"The rich folk live mainly in LOCATION1, but these same people, mostly of the aristocratic kind, also have country houses and will probably only be in town (London) during the 'season'",price,rich folk live,Negative
"They are expensive areas, as is LOCATION1",price,"expensive areas, LOCATION1",Negative
Well LOCATION1 is very expensive,price,Well LOCATION1 expensive,Negative
"When the LOCATION1 was being re-developed , old wharves and warehouses were transformed into luxury apartments priced at 1million and such like",price,LOCATION1 old wharves,Negative
"Yes, LOCATION1 - but its VERY expensive",price,"Yes, LOCATION1 expensive",Negative
You can find something in LOCATION1 to suit most budgets - I have some friends living in a skanky flat that is super cheap,price,find something LOCATION1,Positive
You get more space for your money in LOCATION1,price,get space money,Positive
You have to be mega-rich to live in LOCATION1,price,live LOCATION1,Negative
affordable places in London are mostly in LOCATION1,price,affordable places London,Positive
any area in LOCATION1 is expensive but you can move outwards to areas like LOCATION2,price,area LOCATION1 expensive,Negative
"cheapest borough is LOCATION1, also known as corn beef London because of it's endless rows of red brick housing",price,"cheapest borough LOCATION1,",Positive
hope that helps very good I think LOCATION1 ( N7 ) is getting expensive for very solid reasons,price,hope helps good,Negative
"or try the rural parts of essex , not the London part lol LOCATION1 is quite expensive",price,try rural parts,Negative
"outgoing, theatre types (who could afford it) would suit LOCATION1",price,"outgoing, theatre types",Negative
"remember that the closer to LOCATION1 you are the more expensive it will be, so maybe a bit further out would be better, depending on how much you are able to spend",price,remember closer LOCATION1,Negative
"the cheapest area in London is LOCATION1, which is a massive spraul of concil houses on the outside of London",price,cheapest area London,Positive
you will pay more though as LOCATION1 is way trendier,price,pay though LOCATION1,Negative
"Additionally , the School of Oriental and African Studies ( SOAS ) has a large number of students from Asian backgrounds and countries and their student union regularly holds and hosts events to which they welcome non-SOAS students : The above website also has some links under ` Housing and Accomodation ' for affordable housing options for all students LOCATION1 can be a nice area - near the cemetery is good , but maybe too expensive for you",price,Additionally School Oriental,Positive
"And you ca n't talk with the police because they are all corrupt London is the most expensive London in the UK and apartments are mostly quite expensive , but if you really want to move here , LOCATION1 is probably the least expensive part of town",price,ca n't talk,Positive
But basically people live where they can afford LOCATION1 Rich and Famous,price,basically people live,Negative
"But some parts are e g LOCATION1, however once again, very expensive and lots of snobbery going on there",price,parts e g,Negative
Find a place in LOCATION1 - right now the price of houses is depressed,price,Find place LOCATION1,Positive
For that money you can live around LOCATION1,price,money live around,Negative
"Get on the tube again (or bus) and continue East Keep going until LOCATION1 That will be the cheapest ""convenient"" areas of London",price,Get tube (or,Positive
Guy 's Hospital I think LOCATION1 ( N7 ) is getting expensive for very solid reasons,price,Guy 's Hospital,Negative
I know I learned then cheapest area is London borough of LOCATION1,price,know learned cheapest,Positive
I think LOCATION1 ( N7 ) is getting expensive for very solid reasons,price,think LOCATION1 N7,Negative
"I was looking at LOCATION1, since they have a lot of cheap places there",price,"looking LOCATION1, since",Positive
If money was no object - LOCATION1 in LOCATION2,price,money object LOCATION1,Negative
LOCATION1 but its not cheap,price,LOCATION1 cheap,Negative
LOCATION1 from what I see is quite posh,price,LOCATION1 see quite,Negative
LOCATION1 is cheaper to live in than LOCATION2 by the way,price,LOCATION1 cheaper live,Positive
LOCATION1 is cheapest place to stay near to London with rates upto 600pounds for descent space,price,LOCATION1 cheapest place,Positive
LOCATION1 is near LOCATION1 but it is quite a posh place,price,LOCATION1 near LOCATION1,Negative
"LOCATION1 is one of if not the most expensive areas in London, so if you're looking for reasonably pricing I'd avoid it",price,LOCATION1 one expensive,Negative
"LOCATION1 is pretty expensive , as are swathes of the rest of the borough",price,LOCATION1 pretty expensive,Negative
LOCATION1 is quite a low rent area,price,LOCATION1 quite low,Positive
LOCATION1 is the address of choice for those with enough money to be able to choose anywhere they like,price,LOCATION1 address choice,Negative
LOCATION1 is very expensive to live and renting a flat there would cost you approx,price,LOCATION1 expensive live,Negative
LOCATION1 is very middle class with people with lots of money,price,LOCATION1 middle class,Negative
"London is expensive, LOCATION1 especially so",price,"London expensive, LOCATION1",Negative
Most are very expensive to rent or buy even the grotty little flats and bedsits in LOCATION1,price,expensive rent buy,Negative
Most of London is still pretty expensive my sister lives in LOCATION1 and it is cheaper,price,London still pretty,Positive
"Parts of LOCATION1 are cheaper and nice for the money, but on the wrong side of the river",price,Parts LOCATION1 cheaper,Positive
Take the Tavistock Square bus and go to LOCATION1 - plenty cheap there,price,Take Tavistock Square,Positive
The nicer streets in LOCATION1 (SE5) aren't that expensive especially the bit near LOCATION1 station,price,nicer streets LOCATION1,Positive
The only negative thing about living in LOCATION1 that I can think of is that it is very expensive,price,negative thing living,Negative
"These are some of the wealthiest areas of London, and many of them, like LOCATION1, are primarily residential",price,"wealthiest areas London,",Negative
"These days, who could afford to live in LOCATION1 except the celebrities and the riches",price,"days, could afford",Negative
"Your rent goes further in LOCATION1 than many parts of the centre, west and north",price,rent goes LOCATION1,Positive
its so close to LOCATION2 there would be loads of bankers staying on the LOCATION1 which would push rent up high,price,close LOCATION2 would,Negative
"the ones around LOCATION1 are more expensive, generally further out from there cheaper, as long as on tube",price,ones around LOCATION1,Positive
I hear that under LOCATION1 is quite cheap,price,hear LOCATION1 quite,Positive
"If you live in the London, e g zone 1 (LOCATION1) its expensive",price,"live London, e",Negative
"I was gonna say LOCATION1, but that is known to be the most exspensive area",price,"gonna say LOCATION1,",Negative
"LOCATION1 area, it's a bit expensive",price,"LOCATION1 area, bit",Negative
LOCATION1 costs a bit more than south,price,LOCATION1 costs bit,Negative
if you have a really good budget then LOCATION1,price,really good budget,Negative
"it's a bit expensive round LOCATION1, but there are a few places round there, but mainly hotels",price,bit expensive round,Negative
A more affordable option would be LOCATION1,price,affordable option would,Positive
"Although the house prices in LOCATION1 will be more expensive to rent,",price,Although house prices,Negative
Areas in Essex such as LOCATION1 are quite affluent but would be considered by many to be more of a 'new money' crowd,price,Areas Essex LOCATION1,Negative
As for LOCATION1 - you would find it hard to buy anything there for less than 250-300k,price,LOCATION1 would find,Negative
But NOT in LOCATION1 where rents are astronomical,price,LOCATION1 rents astronomical,Negative
"Everything is expensive in LOCATION1 including the famous department store there, Harrods, rents, shops, restaurants",price,Everything expensive LOCATION1,Negative
"However , if you insist on living on your own , I really feel that LOCATION1 is a pretty cheap area",price,However insist living,Positive
I can't recommend LOCATION1 for affordability,price,can't recommend LOCATION1,Negative
I dont have much money so I am obviously not going to be moving to LOCATION1,price,dont much money,Negative
I think you'd find it tough to find something affordable in LOCATION1,price,think find tough,Negative
I would say the most expensive part of London to live is LOCATION1,price,would say expensive,Negative
I've started thinking about moving to LOCATION1 even though its expensive,price,I've started thinking,Negative
"If you are poor, you might live in LOCATION1",price,"poor, might live",Positive
"It 's a myth that LOCATION1 is cheap , prices have shot up due to the Olympics The words `` dont cost too much '' and `` London '' dont belong in the same sentence",price,'s myth LOCATION1,Negative
LOCATION1 - lots of rich folk live around that area,price,LOCATION1 lots rich,Negative
LOCATION1 and surrounding streets are the most expensive to live in,price,LOCATION1 surrounding streets,Negative
LOCATION1 best place fun and hip but affordable,price,LOCATION1 best place,Positive
LOCATION1 can be cheap both for accomodation and work,price,LOCATION1 cheap accomodation,Positive
"LOCATION1 is an enormous area with all sorts of areas within it , some very luxurious and expensive",price,LOCATION1 enormous area,Negative
"LOCATION1 is fashionable so it is more expensive than for instance LOCATION2 north,north west,central ,west tend to be more expensive yes",price,LOCATION1 fashionable expensive,Negative
LOCATION1 is nice but youd need to look around for a decent priced place to live Wherever they can afford to,price,LOCATION1 nice youd,Negative
LOCATION1 is no longer cheap as anywhere near a tube station in London is expensive as commuters want to be near them,price,LOCATION1 longer cheap,Negative
LOCATION1 is nothing special but like all of London it is expensive,price,LOCATION1 nothing special,Negative
LOCATION1 is pricey,price,LOCATION1 pricey,Negative
"LOCATION1 is pricey I 'm moving from London , UK to Toronto next year and would like to live in a comparable neighbourhood",price,LOCATION1 pricey 'm,Negative
LOCATION1 is pricey My friends and I want to live in London,price,LOCATION1 pricey friends,Negative
LOCATION1 is quite an expensive area,price,LOCATION1 quite expensive,Positive
LOCATION1 is quite expensive and as you hint at in your question has several parts -,price,LOCATION1 quite expensive,Negative
LOCATION1 is the cheapest of the 3 areas and one of the cheapest areas in London,price,LOCATION1 cheapest 3,Positive
LOCATION1 is very expensive and very posh,price,LOCATION1 expensive posh,Negative
LOCATION1 itself is no more expensive than LOCATION2,price,LOCATION1 expensive LOCATION2,Positive
"LOCATION1 mainly has sizeable houses , most of which have been converted into flats , and the cost of renting or purchasing is favourable compared with most of London because the area is n't regarded as fashionable",price,LOCATION1 mainly sizeable,Positive
LOCATION1 was the only area affordable north of the river I could think of,price,LOCATION1 area affordable,Positive
More affordable than LOCATION1 and with quite a division between good and bad areas is LOCATION2,price,affordable LOCATION1 quite,Positive
"Otherwise outside London, somewhere like LOCATION1 would probably be a bit cheaper",price,"Otherwise outside London,",Positive
Some of the areas the other poster has mentioned - LOCATION1 etc are astronomincally expensive,price,areas poster mentioned,Negative
"Thanks Hi mate, Sorry but LOCATION1 is well out of your price range",price,"Thanks Hi mate,",Negative
"The absolute cheapest part of London to live would be LOCATION1, where the buying and rental prices are bang on the UK average",price,absolute cheapest part,Positive
The outskirts of London (for example LOCATION1 in LOCATION2) are filled with pretty wealthy areas,price,outskirts London (for,Negative
"Then I would say, go for LOCATION1, save some cash",price,"would say, go",Positive
"There's hardly any affordable area in London, but certainly not LOCATION1",price,There's hardly affordable,Negative
Well if you have bags of money you should like LOCATION1,price,Well bags money,Negative
You cannot google an abstract concept LOCATION1 is one of the more expensive areas in town,price,cannot google abstract,Negative
You need to be rich to live in some parts of LOCATION1,price,need rich live,Negative
also depends on what kinda prperty you want LOCATION1 is a comparatively cheap place,price,also depends kinda,Positive
"best thing to do is go to several places you like, LOCATION1 is relatively cheaper",price,best thing go,Positive
the absolute cheapest area is LOCATION1 (DA18),price,absolute cheapest area,Positive
"you could also try LOCATION1 , tho its certainly a bit posher-boho",price,could also try,Negative
Along LOCATION1 there are lots of Electronics shops (independent ones),shopping,Along LOCATION1 lots,Positive
LOCATION1 is good for shopping,shopping,LOCATION1 good LOCATION1,Positive
"LOCATION1 is great, because it's mainly little boutiques that sells goods you wont find anywhere else and there's a huge markets",shopping,"LOCATION1 great, mainly",Positive
"LOCATION1 is really no more than a big shopping centre in the middle of a huge road junction ( its where the M1 starts ),",shopping,LOCATION1 really big,Positive
LOCATION1 town centre is brilliant for shopping,shopping,LOCATION1 town centre,Positive
"LOCATION1, where there is an enormous Westfield shopping centre",shopping,"LOCATION1, enormous Westfield",Positive
"There are shops in LOCATION1 you know, you won't need to go into Central London every time you want a pint of milk",shopping,"shops LOCATION1 know,",Positive
Well LOCATION1 is the home of the worlds longest street market,shopping,Well LOCATION1 home,Positive
"i'll say around LOCATION1 area, which has markets and supermarkets or near there like barnard area or caledonian road",shopping,i'll say around,Positive
try the harlequin shopping centre in LOCATION1,shopping,try harlequin centre,Positive
A new Sainsbury's local has just opened next to LOCATION1,shopping,new Sainsbury's local,Positive
A visit to one of the Westfield shopping centres at LOCATION1,shopping,visit one Westfield,Positive
Explore LOCATION1 for boutiques as well,shopping,Explore LOCATION1 boutiques,Positive
Harrods in LOCATION1 is a store where they boast that you can get anything you want,shopping,Harrods LOCATION1 store,Positive
"I heard that LOCATION1 has AMAZING shops , especially for rockabilly/punk/indie / pin-up type of things",shopping,heard LOCATION1 AMAZING,Positive
"If so, take the DLR to LOCATION1 and enjoy the big shopping mall there",shopping,"so, take DLR",Positive
"If you end up down there, be sure to check out LOCATION1 Market if you like vintage and small designers and handmade stuff, especially clothes",shopping,"end there, sure",Positive
"If you want a proper genuine street market, visit LOCATION1 market near Ladbroke Grove on Saturday",shopping,want proper genuine,Positive
LOCATION1 has a lot of Market stalls selling alternative/punk/goth stuff,shopping,LOCATION1 lot Market,Positive
"LOCATION1 , with portobello mkt , is antiques and flea mkt , w a bit of new designers thrown in - some of the week day fruit and veg mkt is the bit hugh grant walks along in the film Notting Hill",shopping,LOCATION1 portobello mkt,Positive
LOCATION1 for alternative clothing,shopping,LOCATION1 alternative clothing,Positive
LOCATION1 has nice shops,shopping,LOCATION1 nice shops,Positive
LOCATION1 has one of the best shopping centres in LOCATION2 so around there might suit,shopping,LOCATION1 one best,Positive
LOCATION1 has the almighty Whitgift Shopping Centre,shopping,LOCATION1 almighty Whitgift,Positive
"LOCATION1 includes a large shopping centre, a leisure centre and many other facilities I was born in N",shopping,LOCATION1 includes large,Positive
LOCATION1 is London's main shopping street,shopping,LOCATION1 London's main,Positive
LOCATION1 is a good spot for shopping though :),shopping,LOCATION1 good spot,Positive
LOCATION1 is full of markets and very fun to browse around,shopping,LOCATION1 full markets,Positive
"LOCATION1 market is famous and huge, but you have to wade through lots of tat to find a gem",shopping,LOCATION1 market famous,Positive
LOCATION2 got the LOCATION1 there which is great for shopping,shopping,LOCATION2 got LOCATION1,Positive
"Seven Dials in LOCATION1 is a maze of little streets, vintage shops, hip cafes and theatres",shopping,Seven Dials LOCATION1,Positive
"She is n't used to big cities and she is 61 years old First , LOCATION1 is fun to wander around if she likes shopping",shopping,n't used big,Positive
Some also have big high streets and lots of shops to rival Oxford / Regents Street like LOCATION1,shopping,also big high,Positive
The shopping in LOCATION1 has always been good,shopping,LOCATION1 always good,Positive
There are also no major shopping centres in the LOCATION1 area,shopping,also major centres,Negative
"There is a large supermarket in LOCATION1 , a really great public library",shopping,large supermarket LOCATION1,Positive
There is also a great market at LOCATION1 selling arts and crafts and vintage clothing,shopping,also great market,Positive
There is an asda just up the road in LOCATION1,shopping,asda road LOCATION1,Positive
There's a big mall in LOCATION1 also,shopping,There's big mall,Positive
"This is in LOCATION1, and has loads of shops and markets which offer so many unique things to buy",shopping,"LOCATION1, loads shops",Positive
When I went to LOCATION1 market i literally fell in love with it,shopping,went LOCATION1 market,Positive
u could go to LOCATION1 heres loads of markets up there u can get sum great stuff,shopping,u could go,Positive
LOCATION1 is just a normal area that happens to have an alternative market,shopping,LOCATION1 normal area,Positive
"Head for LOCATION1, there is a market there but there are also loads of clothes and shoe shops, everything from Ted Baker, LK Bennett and Reiss to Oasis and Monsoon",shopping,"Head LOCATION1, market",Positive
I always go shopping and to the cinema in LOCATION1,shopping,always go cinema,Positive
I know a bit about LOCATION1 as I shopped there loads but as an area to live in not sure,shopping,know bit LOCATION1,Positive
If you're into shopping head to LOCATION1,shopping,head LOCATION1,Positive
"LOCATION1 - Good shopping area, loads of offices, very modern, skyscrapers etc Very different from the rest of London",shopping,"LOCATION1 Good area,",Positive
LOCATION1 has a really cool market which attracts goths,shopping,LOCATION1 really cool,Positive
"Theres a great shop in LOCATION1 tesco, believe it or not",shopping,Theres great shop,Positive
head to LOCATION1 if historical buildings and antique markets are more your cup of tea,shopping,head LOCATION1 historical,Positive
"if you want to shop I would recommend Westfield which is located in LOCATION1, West London",shopping,want shop would,Positive
we lived in LOCATION1 and liked how close it was to shops,shopping,lived LOCATION1 liked,Positive
the real treat of living in LOCATION1 are the smaller shops that line the streets of this residential neighborhood,shopping,real treat living,Positive
there are alot of stores etc on LOCATION1 high road,shopping,alot stores etc,Positive
there are some good shops in LOCATION1,shopping,good shops LOCATION1,Positive
For more shopping try the market at LOCATION1 where there are lots of stalls and shops selling quirky things,shopping,try market LOCATION1,Positive
"For shopping, LOCATION1 is only a 10 minute bus ride away",shopping,"shopping, LOCATION1 10",Positive
I can tell you that there is a large shopping centre in LOCATION1 called brent Cross,shopping,tell large centre,Positive
"LOCATION1 ( near by ) is my fave one in London ~ some vintage , some handmade , new designers , weird stuff ~ its brilliant",shopping,LOCATION1 near fave,Positive
LOCATION1 has a large indoor and outdoor market selling all sorts of fashion and many other things too,shopping,LOCATION1 large indoor,Positive
LOCATION1 is where you'll want to go for local significant shopping,shopping,LOCATION1 want go,Positive
Take a walk round LOCATION1 market one morning and buy the ingredients to make an authentic jerk chicken,shopping,Take walk round,Positive
"The Chimes in LOCATION1, North- West London, is another shopping centre which is busy, so can meet new people",shopping,"Chimes LOCATION1, West",Positive
The LOCATION1 area has excellent local shops and may be one to consider,shopping,LOCATION1 area excellent,Positive
"The market at LOCATION1 is actually open every day, but is at its largest and busiest at the weekend",shopping,market LOCATION1 actually,Positive
"There's a Tesco metro and Lidl ;-) by the tube, a bigger Tesco towards LOCATION1 and a big Sainsburys up in LOCATION2",shopping,There's Tesco metro,Positive
For gods sake don't move to LOCATION1 its horrible,general,gods sake move,Negative
I dont like LOCATION1 at all,general,dont like LOCATION1,Negative
I think LOCATION1 is your best bet,general,think LOCATION1 best,Positive
I would suggest LOCATION1 as a pretty good area,general,would suggest LOCATION1,Positive
I'd stay away from LOCATION1,general,I'd stay away,Negative
"If you are thinking South London, try LOCATION1",general,"thinking South London,",Positive
It would be worth you looking around LOCATION1,general,would worth looking,Positive
LOCATION1 aint too bad,general,LOCATION1 aint bad,Negative
"LOCATION1 has become a bit more up-market in recent years, and it's not too bad as a place",general,LOCATION1 become bit,Positive
LOCATION1 is a nice suburb of LOCATION1,general,LOCATION1 nice suburb,Positive
LOCATION1 is good,general,LOCATION1 good LOCATION1,Positive
LOCATION1 is good and not too shabby,general,LOCATION1 good shabby,Positive
LOCATION1 is just about okay,general,LOCATION1 okay,Positive
LOCATION1 is quite a nice area,general,LOCATION1 quite nice,Positive
LOCATION1 is the best by a long shot,general,LOCATION1 best long,Positive
"LOCATION1 is the place, I love it",general,"LOCATION1 place, love",Positive
LOCATION1 isn't bad,general,LOCATION1 bad,Positive
"LOCATION1 would be pretty good, it's a laid back spot and mostly locals",general,LOCATION1 would pretty,Positive
LOCATION1's a hole,general,LOCATION1's hole,Negative
The area South of LOCATION1 is also good,general,area South LOCATION1,Positive
Try LOCATION1 or nearby,general,Try LOCATION1 nearby,Positive
You may want to consider LOCATION1,general,may want consider,Positive
try somewhere round LOCATION1,general,try somewhere round,Positive
"(try LOCATION1, if you haven't already seen it",general,"(try LOCATION1, already",Positive
