text,aspect,arfs,sentiment
I have since then had cause to cancel my account and contact a lawyer for help getting out of the trouble E*Trade got me into .,E*Trade,since cause cancel,negative
"* Unless you trade in high volumes and maintain a high account , do n't think that E*Trade is your route to IPO access",E*Trade,Unless trade high,negative
"It is remarkable to me that it is taking E*Trade so long to correct this error , when it only took them a few minutes to create it .",E*Trade,remarkable taking long,negative
"A while back , I got lured into switching to E*Trade ( it was those frequent - flyer miles , that 's what did it ) -- within a month I was back at Datek .",E*Trade,back got lured,negative
I use other sources for this because for some reason E*Trade rarely has the most recent news stories on stocks .,E*Trade,use sources reason,negative
"E*Trade , on the other hand , simply deposited the shares in my account as "" nontradable "" , with a dollar value of zero , and basically took the phone off the hook .",E*Trade,hand simply deposited,negative
"* Room to grow : If you are reading this you probably are thinking about opening up an account . . . remember , with E*Trade you can upgrade your account down the line for some serious trading power",E*Trade,Room grow reading,positive
"Overall , E*Trade is a decent service , but they still have some work to do .",E*Trade,Overall decent service,positive
"This is a revision to my original Epinion , which was less than positive itself , about E*Trade .",E*Trade,revision original Epinion,negative
E*Trade makes it easy to become your primary investment vehicle .,E*Trade,makes easy become,positive
"You can set up automatic transfers in and out of E*Trade , and have your money drop automatically into some good yielding money market funds .",E*Trade,set automatic transfers,positive
"E*Trade , in my opinion , is a pathetic operation that relies too much on their site ( which is the most complex interface I 've ever seen ) and not enough on service .",E*Trade,opinion pathetic operation,negative
"Here 's the thing -- after the clean , no - clutter Datek interface , E*Trade looked like a six - ring circus .",E*Trade,'s thing clean,negative
"Overall , E*Trade is not a bad service .",E*Trade,Overall bad service,neutral
"Regardless of what your financial objective is , E*Trade has something for",E*Trade,Regardless financial objective,positive
"Instead , though , I can cite an example where I was looking into an IPO and they gave me advice on how to use E*Trade to get in on the ground floor of the IPO .",E*Trade,Instead though cite,positive
E*Trade has definately made it a corporate priority to keep their customers happy .,E*Trade,definately made corporate,positive
"E*Trade is probably the best , most complete on - line broker I have found .",E*Trade,probably best complete,positive
E*Trade is offering many deals :,E*Trade,offering many deals,positive
"Make your own choices and , if you are willing , E*Trade is there to back you up , whatever you do .",E*Trade,Make choices willing,positive
"I work with computers , and I can understand occasional problems with websites , however , E*Trade really SHOULD be faster and more reliable .",E*Trade,work computers understand,negative
"E*Trade is a disaster , by any measure : functionality , customer ( dis)service , hidden fees , you name it .",E*Trade,disaster measure functionality,negative
"The final advantage I 've seen from E*Trade is that they really want to get my money , and they 're willing to make it worthwhile .",E*Trade,final advantage 've,positive
Apparently E*Trade did n't feel like living up to its end of the bargain .,E*Trade,Apparently n't feel,negative
"On the bond side , I 've repeatedly encountered inaccurate prices that E*Trade fails to fix and refuses to honor .",E*Trade,bond side 've,negative
"What attracted me to E*Trade in the 1st place was the fact that they would let me trade options , which was n't available at any other broker at that time ( discount ) except Schwab , but then their commissions were much higher .",E*Trade,attracted 1st place,positive
E*Trade offers certain features that other on - line brokerages do n't offer .,E*Trade,offers certain features,positive
I no longer recommend E*Trade .,E*Trade,longer recommend,negative
E*Trade also happens to have an abundance of site malfunctions .,E*Trade,also happens abundance,negative
* Intuitive navigation of the site : it 's not easy to make a site as powerful as E*Trade easy to navigate for the part - time investor,E*Trade,Intuitive navigation site,positive
"To sum up , the E*Trade account is great ; do n't believe the hype from the broker camp .",E*Trade,sum account great,positive
"E*Trade , on the other hand , has a huge jumble of advice and opinions and trading tools and real portfolios and watch portfolios and there 's just no easy way to do anything .",E*Trade,hand huge jumble,negative
I opened my account with E*Trade because there were no account maintenance fees .,E*Trade,opened account account,positive
I fully intend to sue E*Trade for the profits lost and the taxes I 'll now have to pay because of their conflicting communications . their customer service was no help in resolving this .,E*Trade,fully intend sue,negative
"At E*Trade , they will put you on hold for about 10 minutes before they have someone talk to you .",E*Trade,put hold 10,negative
The E*Trade bank account allows you to use E*Trade as your checking account .,E*Trade,bank account allows,positive
"Well , I just so happen to have about that much so I am taking steps to do that because it costs too much to close the account and E*Trade is convenient for me .",E*Trade,Well happen much,positive
"I 've had my E*Trade account open for well over a year now , and it has n't impressed me as much as I 'd hoped .",E*Trade,'ve account open,negative
"In addition , E*Trade has features they are adding that I may use when they become available .",E*Trade,addition features adding,positive
I 've had my E*Trade account for over 4 years and the reason is because of inertia .,E*Trade,'ve account 4,neutral
"On the plus side , E*Trade is getting into a number of side areas that might prove to be of benefit to its client base .",E*Trade,plus side getting,positive
"Although E*Trade may be cheaper than seeking the services of a professional broker , I am at times led to question whether the discount is really worth the hassle .",E*Trade,Although may cheaper,negative
My review of E*Trade is mixed .,E*Trade,review mixed,neutral
"I 've had brokerage accounts at E*Trade , Schwab , Morgan Stanley Dean Witter , SureTrade , and Wit Capital ; I can honestly say that E*Trade is the absolute worst of the five .",E*Trade,'ve brokerage accounts,negative
It turned out that E*Trade HAD executed the Limit buy without confirming it after I placed the cancel order . . .,E*Trade,turned executed Limit,negative
Another bad point is that E*Trade is falling behind with offering such services as streaming real time quotes and real time portfolios for everybody .,E*Trade,Another bad point,negative
"easy , E*Trade provides a great opportunity for doing so .",E*Trade,easy provides great,positive
"The world of online brokers is a competitive one and despite minor drawbacks , E*Trade is one of the best out there .",E*Trade,world online brokers,positive
E*Trade is a fine choice for low maintenance trading .,E*Trade,fine choice low,positive
I was appalled to find that E*Trade did not offer it .,E*Trade,appalled find offer,negative
I started an E*Trade account in the middle of last year and really enjoy it .,E*Trade,started account middle,positive
This is not to say that there are n't nice things about E*Trade .,E*Trade,say n't nice,neutral
I 've never experienced a time when E*Trade was perceptably slow ( let alone unavailable ) even during a busy market .,E*Trade,'ve never experienced,positive
"As time has gone on , I have come to realize that E*Trade is pretty much a middle - of - the - road discount broker .",E*Trade,time gone come,positive
"Now I must make it up to the IRS , all because E*Trade would not email or telephone me .",E*Trade,must make IRS,negative
The original review was written a while back and I wanted to add this update to express my disappointment with E*Trade .,E*Trade,original review written,negative
"E*Trade has got all kinds of banking , securities , stocks , markets , and research all crammed together .",E*Trade,got kinds banking,negative
"While E*Trade seems to be the most widely used , it is not the best .",E*Trade,seems widely used,negative
To put it briefly : E*Trade never notified me of a problem accessing my bank account for funds .,E*Trade,put briefly never,negative
"I would like to be able to recommend E*Trade , but based on my experiences with trying to open the IRA account , and some problems that I have had with my other accounts , I ca n't recommend them .",E*Trade,would like able,negative
"E*Trade has Profiles for most companies , as well as analyst opinions and market sentiment .",E*Trade,Profiles companies well,positive
All of my recent trades at E*Trade have posted on this other service in just a couple of seconds .,E*Trade,recent trades posted,positive
I was initially drawn to E*Trade for the same reasons that most people are : Big Cash !,E*Trade,initially drawn reasons,negative
"E*TRADE site is well thought out and contains truly all the information one needs to day trade , invest in mutuals , bonds or simply have a checking account with a good money marketing interest rate ( varies from 4 to 6 % but still beats any non interest checking:- ) .","E*TRADE, site",site well thought,positive
"The school recruits faculty my having them pay to take a class , then line them up on unsuspecting online students .",school,recruits faculty pay,negative
I would think that it is hard to manage a school with so many students all over the world .,school,would think hard,neutral
I am surprised that the school remains accredited .,school,surprised remains accredited,negative
This is the biggest reason I decided not to go to this school .,school,biggest reason decided,neutral
Sucking you into enrollment is just about the ONLY thing this school is good at .,school,Sucking enrollment thing,negative
If this is the academic rigor required by this for - profit school then they are producing a product from an apparent diploma mill .,school,academic rigor required,negative
"I think the school probably is a good one , but they need to come up with a different way to admit people .",school,think probably good,positive
"I 've complied with everything told to me ( very important ) , done my own research ( very important ) and have never in my life expected everything to be spoon fed to me , so this school has been just fine in my book !",school,'ve complied everything,positive
I am filing credit fraud against the school .,school,filing credit fraud,negative
The worst part of the school is the instructors that just hand out A 's .,school,worst part instructors,negative
Do not attend this school if you have nt already enrolled .,school,attend already enrolled,negative
"Its a fine school , with over 70 % of the faculty terminally degreed , and it gives the chance for bright , hard working , non - traditional students to prove themselves from anywhere in the world .",school,fine 70 faculty,positive
"I think , as a student completing my masters in Information Technology , it is not a bad school at all .",school,think student completing,neutral
With this school you get out of it what you put into it - like anything you do in life .,school,get put like,neutral
"I am a working adult and am newly married so this school works for me , and when the wife decides when she wants to start having children I will be thankfull for this school .",school,working adult newly,positive
I ultimately saw this as a blessing because I am no longer pursuing this school anymore .,school,ultimately saw blessing,negative
I will tell you firsthand this school DOES not care about your education ... only the money you give them .,school,tell firsthand care,negative
"If you are a dedicated , self - motivated person this is the school for you .",school,dedicated self motivated,neutral
I must say that I was very skeptical of this school .,school,must say skeptical,negative
I would not recommend this school to anyone .,school,would recommend anyone,negative
Getting my masters and I think it is a good school .,school,Getting masters think,positive
I have absolutely no complaints about the entire PhD journey and highly recommend this school .,school,absolutely complaints entire,positive
"The bottom line is that school is hard , and if you are not willing to do the work , it will be very frustrating .",school,bottom line hard,neutral
"Words that best describe this school and WIU : ATROSCIOUS , SHOCKING , UPSETTING , UNSPEAKABLE , DISPICABLE , LIARS .",school,Words best describe,negative
"I recently was involved in a conversation at work where a Capella PH D student was so ashamed of the school for his "" in progress "" degree that he did not want to mention the name of the institution to the group .",school,recently involved conversation,negative
It is a total joke of a school .,school,total joke,negative
I go the seattle campus and in the CIS program and agree the that school is expensive .,school,go seattle campus,negative
"I have to admit , I have learned twice as much in this school , with this set up and schedule , than in any other college .",school,admit learned twice,positive
"This led me to look at what others are saying and "" some "" are saying that the school is lousy from their experiences also and they are currently in the program .",school,led look others,negative
All I can say is that this school is a total waste of time .,school,say total waste,negative
It is a very good school .,school,good,positive
I highly do n't reccomend this school .,school,highly n't reccomend,negative
"My summary of the school is that you get what you put in , and there is ample opportunity to get a lot out .",school,summary get put,positive
"Overall , i 'm left with having doubts of even attending this school because I have n't even started attending classes yet and i 'm already having this much trouble and its causing so much stress .",school,Overall 'm left,negative
I love this school and I think that you all need to give this college credit .,school,love think need,positive
"Out of all the professor , I 'd say two actually cared about the students ' well - being . . and yes , they left the school already because they knew what a fraud the school has become .",school,professor 'd say,negative
The school gives students a knowledge base that makes them extremely competitive in the corporate world .,school,gives students knowledge,positive
"If you have any sense at all , do not attend this school .",school,sense attend,negative
I would highly recommend this school .,school,would highly recommend,positive
One thing you must understand about this school is that no one will hold your hand and make sure you do your work .,school,One thing must,neutral
I would reccomend the school if you do n't have time to go to a traditional school .,school,would reccomend n't,positive
This school is all about the money,school,money,negative
This supposedly military friendly school scammed me .,school,supposedly military friendly,negative
"I figured that a degree from a school with a bad reputation is better than no degree at all , so I enrolled .",school,figured degree bad,positive
This is just flat out a bad school .,school,flat bad,negative
The school is not perfect .,school,perfect,negative
The instructor also could n't spell or write effectively which was a major turn - off to his qualifications .,instructor,also could n't,negative
I recently had an instructor in my biology class who was tough .,instructor,recently biology class,negative
I have only had 1 instructor that was out of his league .,instructor,1 league,negative
"Unlike all modern universities , there is no way to get feedback on an instructor before you are financially committed to the class .",instructor,Unlike modern universities,negative
Another who appeared to be unstable sent me 4 E - mails in the duration of a day with threats and told me what a lousy instructor I was .,instructor,Another appeared unstable,positive
He is a very dedicated instructor and does his best to make sure his students understand the material .,instructor,dedicated best make,positive
"However , One particular ( adjunct ) instructor is very limited when it comes to using a computer and her evaluations and comments are not consistant .",instructor,However One particular,negative
The class I just finished the instructor showed slides and then proceeded to just read them .,instructor,class finished showed,negative
I recall one class in which our instructor logged in ( and this is not an exaggeration ) twice during the semester : once to greet everyone and once to collect our final exams .,instructor,recall one class,negative
The chat feature is just FUN .,chat,feature FUN,positive
"My family groups enjoy sharing photos together , using a calendar that everyone has access to , posting discussion topics and using a fun chat feature .",chat,family groups enjoy,positive
"The chat , what a great way to get everyone together , without having to go set up your own chat room on a webpage , or use a public one .",chat,great way get,positive
"Well , after a year of trading I must say that I have been very disappointed with the service .",service,Well year trading,negative
I highly recommend this service to anyone with e - mail !,service,highly recommend anyone,positive
This service is great for planning parties or keeping in touch with family and friends .,service,great planning parties,positive
This service is so flexible .,service,flexible,positive
I will never use their service again .,service,never use,negative
I 'm currently using this service as a convenient means to transfer money to and from my brokerage account .,service,'m currently using,positive
"Basically , their service is quite slow",service,Basically quite slow,negative
"I 'm trying to think of anything negative about this service , but nothing is occurring to me .",service,'m trying think,positive
The problem is that they have to make up this money somehow and that is in poor service .,service,problem make money,negative
They definitely rate an A+ for service !,service,definitely rate A+,positive
I must repeat that the service IS a good one when it is operational .,service,must repeat good,positive
"Apart from a few small delays while the two databases were merged , the service has continued perfectly .",service,Apart small delays,positive
"I now have six lists that I administrate and I am so pleased with this service that , when I do a web page for a client , I include setting them up a list with which to promote their site as part of my service to them .",service,six lists administrate,positive
This service eliminates the hassle of having to type out a hundred different email addresses for just one email .,service,eliminates hassle type,positive
And best of all the service is completely free to listowners and users .,service,best completely free,positive
I could see Etrade 's service deteriorate over time as they seemed to ignore small investors like me .,service,could see Etrade,negative
I asked for free trades to compensate for their lack of service .,service,asked free trades,negative
"Talking about incompetence , abrasiveness and pure worthless service .",service,Talking incompetence abrasiveness,negative
A small trade off for an otherwise useful service .,service,small trade otherwise,positive
"The service supports many different types of lists -- announcement , discussion , or moderated -- and it supports each of them extremely well .",service,supports many different,positive
Another neat service Etrade has is ATM machines around the country .,service,Another neat Etrade,positive
You have a group of people setup on this service and you can send invitations very easily .,service,group people setup,positive
"This service is handy , fun , and easy to use .",service,handy fun easy,positive
"On the good hand , as I mentioned above , you do not need a credit card to access their service .",service,good hand mentioned,positive
Yahoo demands that to access the list management sections of our groups we owners must take on a new Yahoo ID . . . like they ca n't do as egroups has always done- accept our email addy and password for login .,egroups,Yahoo demands access,positive
"So anyway , once again , now that egroups has moved their ads in the messages from the top to the bottom I have changed my rating of them from 1 to 5 stars .",egroups,anyway moved ads,positive
"With egroups , you do n't have to be an expert to build and manage your community .",egroups,n't expert build,positive
I have made so much more money and gotten so many more hits since I joined egroups .,egroups,made much money,positive
The last thing I would like to bring up is that egroups does not discriminate .,egroups,last thing would,positive
I know you will find or be able to create a place all your own in egroups .,egroups,know find able,positive
From a moderator / owner perspective egroups gives you complete control over your group .,egroups,moderator owner perspective,positive
Many other listservers also perform these functions but egroups makes it a lot easier to access the information .,egroups,Many listservers also,positive
I have found that egroups has some features that make it very versatile .,egroups,found features make,positive
Some of the writer 's egroups send their members list of links that can be visited at our leisure .,egroups,writer 's send,positive
Meeting new friends this is the best part of egroups .,egroups,Meeting new friends,positive
I am addicted to egroups .,egroups,addicted,positive
"I have exchanged gifts with other members of the egroups , holiday cards , recipes .",egroups,exchanged gifts members,positive
I found egroups about 6 months ago and I have been a regular member ever since .,egroups,found 6 months,positive
"While they are annoying , they are also the reason egroups is free for the public .",egroups,annoying also reason,positive
"As my interests and needs change , so can my egroups .",egroups,interests needs change,positive
"Also , there are just so many lists that egroups hosts , you can usually find any sort of list you are looking for just by doing a search on the site .",egroups,Also many lists,positive
There are so many egroups dealing with different topics of interest to list in one article here .,egroups,many dealing different,positive
"You see , I have made many friends from egroups .",egroups,see made many,positive
There are so many possabilities with egroups .,egroups,many possabilities,positive
"I joined egroups about a month ago , so far it has been working out great .",egroups,joined month ago,positive
"Also , there is a new service at egroups where you can pay $ 4.95 per month and not have the ads show up .",egroups,Also new service,positive
It was n't until here recently that I truly discovered egroups and their entire potential .,egroups,n't recently truly,positive
"I 've found that egroups is very good because , if you run a list , it takes a lot of the burden of managing a list away .",egroups,'ve found good,positive
I manage a couple lists through egroups and I really like the options they offer to list managers .,egroups,manage couple lists,positive
"All in all , egroups is a very comprehensive and well run site hosting literally thousands of email communities / groups for you to choose from and is a superb way to meet lots of new friends who share your interests .",egroups,comprehensive well run,positive
"I feel that if you do your research on the egroups , asking lots of questions of the moderator , then you can definitely benefit from them .",egroups,feel research asking,positive
I am a member of 19 egroups and i have met so many great people !,egroups,member 19 met,positive
"There is so much variety offered through egroups and so easy to use , that it is my main source of lists which I either moderate or belong to .",egroups,much variety offered,positive
Some of the best egroups that I 've been in have been referred from other egroups so if one gets boring or too off topic a couple mouseclicks can fix that .,egroups,best 've referred,positive
"With egroups , it 's just a few clicks of the mouse and you can get what you want accomplished .",egroups,'s clicks mouse,positive
Aside from my soapbox of being nice - I have indeed made a good many friends from egroups .,egroups,Aside soapbox nice,positive
"The positive side of the egroups is that you will meet lots of new people , and if you join an Epinions egroup , you will certainly see a change in your number of hits .",egroups,positive side meet,positive
"Lately , I have joined three egroups and have discovered so many things about the programs I use .",egroups,Lately joined three,positive
Almost any topic is covered at egroups .,egroups,Almost topic covered,positive
"I highly recommend egroups to all of you , but remember the tips about digesting and/or the number of groups you subscribe to !",egroups,highly recommend remember,positive
"Sure , some people have their problems with egroups ... but personally , i have had VERY FEW problems .",egroups,Sure people problems,neutral
All in all I love egroups .,egroups,love,positive
"Additionally , there were mistakes in the documents , and E*trade informed us at the closing that we needed a cashier 's check for an amount that had n't been previously disclosed to us .",E*trade,Additionally mistakes documents,negative
Here are my TOP 5 reasons against using E*trade .,E*trade,TOP 5 reasons,negative
"The first month we were scheduled to close , E*trade failed to ship the documents in time .",E*trade,first month scheduled,negative
"Competing companies may provide better service , features , or even prices , except for maybe the money market fund interest rates that E*trade provides .",E*trade,Competing companies may,neutral
E*trade requires no such fee .,E*trade,requires fee,positive
The best thing about E*trade is the concept of online trading .,E*trade,best thing concept,positive
But that did n't matter as E*trade is not responsible for their mistakes .,E*trade,n't matter responsible,negative
"Datek offers half the price that E*trade offers on limit orders , which will surely save me a lot of money over time .",E*trade,Datek offers half,negative
"Sure , it is probably in writing somewhere but I would think that a trained representative of E*trade would know enough to give us the RIGHT payment information .",E*trade,Sure probably writing,negative
"If you enjoy waiting on hold , if you do n't want accessible real time quotes , if you do n't really mind not being able to see your portfolio 50 % of the time you try to check it , the E*trade is the online broker for you .",E*trade,enjoy waiting hold,negative
"However , after reading all the E*trade fine print and comparing the services , I do n't think I 'll close my Waterhouse account any time soon .",E*trade,However reading fine,negative
"Besides the lie about the quote / rate , I was very disappointed with the service at E*trade .",E*trade,Besides lie quote,negative
"Since AOL normally charges $ 21.95 per month , I figured E*trade was worth trying if I was getting paid $ 131.70 .",E*trade,Since AOL normally,neutral
"It has taken us several months to refinance through E*trade , when typically it should have taken weeks .",E*trade,taken us several,negative
"E*trade allowed $ 5894.95 to "" Slip through the cracks . """,E*trade,allowed 5894.95 Slip,negative
"We 're currently in the process of refinancing our home loan through E*trade , and have had several complaints about the process .",E*trade,'re currently process,negative
I hope another new investor like myself will think twice about dealing with E*trade as they seem to have policies that release them from liabilities even when they make errors .,E*trade,hope another new,negative
He also explained that we had day plus three to get a check for $ 5894.95 to E*trade .,E*trade,also explained day,negative
"Yes , this was a $ $ 5894.95 lesson to learn and it has caused great anguish and frustration , especially in my contacts with E*trade .",E*trade,Yes 5894.95 lesson,negative
Another TERRIBLE thing about E*trade is that you ca n't buy a stock and send the money later .,E*trade,Another TERRIBLE thing,negative
I would not even recommend E*trade to my enemies .,E*trade,would even recommend,negative
"Most people said a credit union would give me the best rate , however , several people told me that E*trade would beat any bank hands down .",E*trade,people said credit,positive
"As of Tuesday , the followong week , E*trade still had not posted payment and as a result , they sold my stocks at a HUGE loss .",E*trade,Tuesday followong week,negative
"I realize that every company has its "" quirks "" but there are many problems with E*trade and I do not see how they can think loosing a check is a big deal .",E*trade,realize every company,negative
"If you want to buy from me , paypal is the best way to do it if you want your product NOW .",paypal,want buy best,positive
I buy and sell using paypal .,paypal,buy sell using,neutral
The new site is nice and works quite well ( looks pretty ) .,site,new nice works,positive
This site does nt have nearly as much personality as Yahoo or Theglobe.com 's Globeclubs .,site,nearly much personality,negative
I recommend this site to anybody .,site,recommend anybody,positive
I do have a few complaints about this site .,site,complaints,negative
"This site , also , integrates with Yahoo ! Messenger so that you can tell if members of your groups are logged into the pager or",site,also integrates Yahoo,positive
"The site is also very easy to navigate , and you can join more than one circle !",site,also easy navigate,positive
My only qualm was that the site was very difficult to navigate ; you had information scattered in various areas and it was not intuitive at all .,site,qualm difficult navigate,negative
"I highly recommend this site to anyone looking for a way to keep in touch with friends or family , or who is looking to join others with a common interest .",site,highly recommend anyone,positive
The site is well laid out and easy to navigate with everything you need,site,well laid easy,positive
( d ) an uncluttered and easy - to - read site .,site,uncluttered easy read,positive
The site was laid out very nicely .,site,laid nicely,positive
"Also , the site is very easy to navigate and their member support area answers mostly all of your questions .",site,Also easy navigate,positive
I was really glad to learn about this site .,site,really glad learn,positive
"The only notice I could possibly had received would have been by digging through several pages on their extremely confusing site to find my "" current alerts "" listing .",site,notice could possibly,negative
This site is great for families and groups and for staying in touch .,site,great families groups,positive
I recommend this community site anyone !,site,recommend community anyone,positive
"All in all , when it comes to online communities , this is a highly recommended site .",site,comes online communities,positive
Finding different parts of the site was just as easy .,site,Finding different parts,positive
"This site was great , easy to navigate , easy to sign up for and my favorite part is they do n't fill your email with junk e - mail .",site,great easy navigate,positive
This has allowed me to rate their site as ranging from bad to less bad during these times .,site,allowed rate ranging,negative
"The site is flexible , giving you the ability to receive individual emails , periodic digests of posts , or just to read off the web .",site,flexible giving ability,positive
This site is full of disgruntled students and obvious UOP staff posting comments .,site,full disgruntled students,negative
"So you see , it is entirely possible to use this site as a tool to help you find the next Stock pick of the year .... I will definitely be using this site in my daily research .",site,see entirely possible,positive
I would suggest this site to anyone .,site,would suggest anyone,positive
"This site can make staying in touch with nieces , nephews , cousins , aunts and uncles allot easier .",site,make staying touch,positive
"The site itself is a little slow , but not overly so .",site,little slow overly,negative
This site is one of only a few free services provided on the web that is actually worthwhile .,site,one free services,positive
I highly recommend this site to older children and teenagers .,site,highly recommend older,positive
"I do n't recall exactly how I found this site , but I love it .",site,n't recall exactly,positive
When I get to the site there are links to my groups I am already in as well as a search feature towards the top of the page so I can find more groups to join if I so desire .,site,get links groups,positive
This site is also respectful of people 's anonymity in groups .,site,also respectful people,positive
The site is easy to access .,site,easy access,positive
And there is one main bad point and it 's a doozy -- the site keeps going down .,site,one main bad,negative
The site is easy to navigate which is a big issue to me .,site,easy navigate big,positive
I like the fact that at Egroups you have options .,Egroups,like fact options,positive
Egroups also allows you to set up polls so you can do surveys ( if you are the moderator ) .,Egroups,also allows set,positive
Egroups is one of my favorite websites for that reason .,Egroups,one favorite websites,positive
Well with Egroups you can do all that and much more !,Egroups,Well much,positive
Egroups is easy to use and they do n't sell your email address to anyone that I know of because I have n't been spammed by anyone yet .,Egroups,easy use n't,positive
Egroups is pretty decent I would say as a online email center for writing email to groups of people .,Egroups,pretty decent would,positive
"Egroups Allows me to ask others for advice on issues that I want to learn more about , as well as share my advice or ideals with others in need of my knowledge .",Egroups,Allows ask others,positive
Despite my few complaints Egroups is a wonderful company and I would recommend them to almost anyone .,Egroups,Despite complaints wonderful,positive
"Egroups also respect your privacy , since I have several groups there and I have never received any unsolicited message .",Egroups,also respect privacy,positive
"Egroups is , of course , more than a simple web version of a mailing list .",Egroups,course simple web,positive
Egroups caters to both of us : ),Egroups,caters us,positive
Egroups is wonderful in another way as well .,Egroups,wonderful another way,positive
Egroups offers such a vast range of groups ... there is something for everyone .,Egroups,offers vast range,positive
I find Egroups to be a very rewarding site .,Egroups,find rewarding site,positive
Egroups is without a doubt the best site to create your own interactive mailing list .,Egroups,without doubt best,positive
Egroups is very easy to navigate .,Egroups,easy navigate,positive
"I say interactive because unlike other places , Egroups allows the members of a list to communicate with each other .",Egroups,say interactive unlike,positive
Egroups would be 5 stars to me .,Egroups,would 5 stars,positive
"OneList , which is now Egroups , is constantly upgrading the site and service .",Egroups,OneList constantly upgrading,positive
Egroups is a place where people with common interests can join groups that post messages or chat .,Egroups,place people common,positive
They need a better age verification system on Egroups because it was too easy to access .,Egroups,need better age,positive
I would highly recommend Egroups to anyone looking to make some friends especially those with the same interest areas !,Egroups,would highly recommend,positive
I have been a member of Egroups ( formerly Onelist ) for quite a few years now and i LOVE it ! !,Egroups,member formerly Onelist,positive
"To be honest , Egroups ( onelist ) was my first mailing list choice , and I have n't even bothered to look into other services .",Egroups,honest onelist first,positive
Egroups seems the best for now . . .,Egroups,seems best,positive
There are groups for just about anyone at Egroups .,Egroups,groups anyone,positive
Egroups have such a great variety and there is definely one out there for everyone .,Egroups,great variety definely,positive
Egroups offers this feature to every list .,Egroups,offers feature every,positive
Egroups is so easy that anyone that can work regular email can run it !,Egroups,easy anyone work,positive
The Egroups website is very easy to navigate .,Egroups,website easy navigate,positive
"Egroups is by far the most popular site for free email - groups , and it 's very easy to see why .",Egroups,far popular site,positive
"Egroups has never added me to a list I did n't want to be on , or sent me any spam .",Egroups,never added list,positive
"Egroups is also FREE , which is a very nice bonus .",Egroups,also FREE nice,positive
Egroups is free to use for opt - in lists and is easy to manage .,Egroups,free use opt,positive
Egroups is a free e - mail list community .,Egroups,free e mail,positive
Egroups really does have something for everybody .,Egroups,really something everybody,positive
I have found Egroups to be easy to run and fun to use .,Egroups,found easy run,positive
"Generally , I recommend Egroups to anyone interested in anything they would like to share with others .",Egroups,Generally recommend anyone,positive
"Egroups is a wonderful way to keep in touch with friends and family for certain , however it is also a great place to meet other people with similar interests .",Egroups,wonderful way keep,positive
"Egroups is also a moderated group , so when one person showed up that I knew was not a friend of ours ( more like a stalker ) it was easy to take care of that problem .",Egroups,also moderated group,positive
"Egroups has served me well , most of the time .",Egroups,served well time,positive
"Egroups offers free mailing list hosting , along with file storage , and polls , and chat , and calendars .",Egroups,offers free mailing,positive
Egroups does have a page that makes you consent to viewing the adult pictures before you can view it the questionable material .,Egroups,page makes consent,positive
Egroups has got to be one of my favorite places on the web .,Egroups,got one favorite,positive
Egroups ( formerly known as onelist ) is a great website service invention !,Egroups,formerly known onelist,positive
